id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
Belmont,  1.57208297e-03,  3.04839098e-03,  5.28027205e-03,  4.10683033e-03,   2.02188151e-03,  9.35543233e-04,  6.09262815e-04,  9.90375891e-04,   8.82925765e-04,  1.27995990e-03,  2.09115338e-03,  2.47264359e-03,   8.37938172e-03,  4.25151722e-03,  1.99599597e-03, -8.47088296e-04,   5.02867814e-04, -4.98166331e-04,  4.31934494e-04,  2.93155415e-04,  -4.11484770e-08,  3.23391922e-04,  7.80006988e-04,  1.14065057e-03
Bensonhurst East, 0.00438408, 0.00456893, 0.00802542, 0.0049491 , 0.00304422, 0.0016812 ,  0.00071626, 0.00050052, 0.00050333, 0.0008434 , 0.00203189, 0.00251816,  0.00624969, 0.0113353 , 0.00977537, 0.0065362 , 0.00471339, 0.00358504,  0.00330534, 0.0020445 , 0.00237648, 0.0029845 , 0.00318536, 0.00373514
Bensonhurst West, 0.00642434, 0.00710048, 0.01008428, 0.01270178, 0.00620926, 0.00295638,  0.00060926, 0.00043601, 0.00058516, 0.00107337, 0.00189114, 0.00397469,  0.01143928, 0.01298938, 0.01252763, 0.00810751, 0.00567659, 0.00486586,  0.00314881, 0.00285677, 0.00379324, 0.00471421, 0.00517634, 0.00634475
Borough Park, 0.00584072, 0.00639682, 0.00721802, 0.00707391, 0.00416459, 0.00330219,  0.00273923, 0.0025305 , 0.00213536, 0.00385643, 0.00649154, 0.01049495,  0.02671431, 0.03513969, 0.02735618, 0.0192771 , 0.01393252, 0.00849644,  0.0057986 , 0.00356279, 0.0030405 , 0.00366308, 0.00351887, 0.00398612
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel, 0.00143221, 0.00175431, 0.00127021, 0.00117804, 0.00021529, 0.00051409,  0.00018795, 0.00010743, 0.0001692 , 0.00027822, 0.00059472, 0.00056095,  0.00262677, 0.00443131, 0.00384956, 0.00316639, 0.00223661, 0.00150492,  0.00128725, 0.00085523, 0.00065592, 0.00084231, 0.00104783, 0.00115879
Briarwood-Jamaica Hills, 0.0134471 , 0.01387822, 0.01320621, 0.01252949, 0.00597118, 0.00195136,  0.00055576, 0.00048843, 0.00068972, 0.00118641, 0.00393576, 0.00725189,  0.01709398, 0.02981786, 0.03078247, 0.02340417, 0.02156926, 0.0195808 ,  0.01559836, 0.01190138, 0.0098582 , 0.01031317, 0.00933013, 0.01195707
Brighton Beach, 0.00245957, 0.00291898, 0.00305993, 0.00203945, 0.0014757 , 0.00130297,  0.00054573, 0.00084725, 0.00141936, 0.00161517, 0.00131331, 0.00107301,  0.00380177, 0.00921376, 0.00657375, 0.00555176, 0.00238797, 0.00260276,  0.0029811 , 0.00229812, 0.00185762, 0.0018349 , 0.00214186, 0.00200246
Bronxdale, 0.00318307, 0.00379249, 0.00486312, 0.0048151 , 0.00319827, 0.00133539,  0.00031836, 0.00043601, 0.0003965 , 0.00040295, 0.00158   , 0.00240437,  0.00693511, 0.01255788, 0.00766904, 0.00716094, 0.00480971, 0.00412433,  0.00308173, 0.00158182, 0.00144092, 0.00155548, 0.00160622, 0.00236835
Brooklyn Heights-Cobble Hill, 0.03311178, 0.0242713 , 0.02765859, 0.02504864, 0.00254005,-0.01103818, -0.02194436,-0.01921665,-0.0156055 ,-0.03603397,-0.0406682 ,-0.03218826, -0.0321337 ,-0.00416272, 0.0052257 ,-0.03229232,-0.03567188,-0.01937336, -0.00306758, 0.01416681, 0.02448561, 0.04056193, 0.03897256, 0.03823156
Brownsville, 0.00647258, 0.00729459, 0.00810616, 0.00768646, 0.00427663, 0.00244847,  0.00258542, 0.00052068, 0.00033513, 0.00086679, 0.00300975, 0.00491916,  0.01359345, 0.02039679, 0.01539224, 0.01164771, 0.01057511, 0.00711932,  0.005452  , 0.00349767, 0.00296523, 0.00359389, 0.00351887, 0.00452135
