name,color
Midtown,#ff0000
Hudson Yards,#ff2914
Upper East Side,#ff5029
Turtle Bay,#ff793e
Upper West Side,#ff9b52
West Village,#f9bb66
Murray Hill,#ded579
Hell's Kitchen,#c2ea8c
SoHo,#a8f79c
Lincoln Square,#8cfead
Lenox Hill,#72febb
Yorkville,#56f7ca
Battery Park City,#3dead5
East Village,#20d5e1
Gramercy,#07bbea
LGA,#169bf2
North Side,#3079f7
park,#4c50fc
Chinatown,#6629fe
JFK,#8000ff
